127.0.0.1 - - [25/Nov/2025:10:00:01 +0000] "GET /home HTTP/1.1" 200
192.168.1.10 - - [25/Nov/2025:10:01:20 +0000] "POST /login HTTP/1.1" 500
192.168.0.55 - - [25/Nov/2025:17:10:00 +0000] "POST /admin HTTP/1.1" 500
192.168.10.50 - - [26/Nov/2025:14:00:00 +0000] "POST /sql-injection HTTP/1.1" 500
192.168.10.77 - - [26/Nov/2025:15:00:00 +0000] "POST /phishing HTTP/1.1" 500
192.168.0.200 - - [26/Nov/2025:16:00:00 +0000] "POST /exploit HTTP/1.1" 500
192.168.0.250 - - [27/Nov/2025:11:00:00 +0000] "POST /testlogin HTTP/1.1" 500127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 200
127.0.0.1 - - [27/Nov/2025:12:00:00 +0000] "GET /test HTTP/1.1" 500
